Id;DataAcesso;Hash;DataExpiracao;Cliente;TipoAcesso;LoginAtendente;TipoSessao;Origem
590;2018-06-27 06:30:44.933;5c2627be8fbebff33fb9ffc51bdcacc078593516c0c0c0c6ddfbb834818cc545e60d6144fedc8e48ad86c5f2d06aabbcc9e983c2d02d6138bc87e94e7e0d9d04;2018-06-27 08:02:42.123;111.111.111-62;1;;;100000016
591;2018-06-27 06:33:07.120;f5c1baeda5acce7cdc31154f4df5e32c4c57cab5f78091c75b184fc6655f132301f6e453ce4a2c2326ac2c10371ecb4c2ed9102661a516801af8d38a00275d54;2018-06-27 08:03:56.330;111.111.111-63;1;;;100000016
592;2018-06-27 06:54:57.413;142bd4abcca349b6370098829845a70a49e4f2581d97b716e6176980f880e8d0a12c450a735425f421484440bc558bbb0b8ca188f24ce236e30d02d6134ca044;2018-06-27 08:26:55.407;111.111.111-64;1;;;100000016
593;2018-06-27 06:57:22.213;a3871a21232081aadbf30297e161c58771639749af1f5016b6df1a77209f08dbc4e32e7815603e30a73e4ceee3a9ab6491638bd3a77e6c85fae08b2ca99e77b6;2018-06-27 08:27:24.320;111.111.111-65;1;;;100000016
594;2018-06-27 06:57:34.327;bf16f0027b23e9dc10556d68b1ffb98457d039c61d47ee21e172092b560dfd25459bf8414153982c46bdf3b1acc83d8bcc2e3c61006d89f552636753c454a6cb;2018-06-27 08:29:14.790;111.111.111-66;1;;;100000016
595;2018-06-27 06:59:27.970;2ffdeb56feecffeb7961bdfa6d0e23eb90bd41f1a249a42bcac44cc41f33357a30a5133280d1383dfde7b2c36ff441debf05a34a0f94018ccc24bb6747315981;2018-06-27 08:31:47.683;111.111.111-67;1;;;100000016
596;2018-06-27 06:59:29.820;8787d12b41b6e8199da692322361ff6e7d44b17f57fa6501e4a24abdbaad0deace9ba49f02959d39874ae11e6f3f9b340111ead72135440e2ceb076527821ecb;2018-06-27 08:29:31.213;111.111.111-68;1;;;100000016
597;2018-06-27 07:02:41.000;c98e88b163894374101da68731f8f18e353faaeb9711e3ce74835ce76f7a9e3e4d5d7980b44e01a24ac4abe7bed914a589148dea1f88b2aa95a8df4edd2f6674;2018-06-27 08:33:53.043;111.111.111-69;1;;;100000016
598;2018-06-27 07:06:26.897;5e9ae75b8b7065d90adf5b5cba09f7bf34ae121781aec69171c46194c9c9dab10110737f1137f5e2b1fd4f082e64810a8e3bfadd137aa7691bbd0ed433bf69a0;2018-06-27 08:37:08.387;111.111.111-70;1;;;100000016
599;2018-06-27 07:15:25.983;7f007b38612c3acb5d369b0c767bcb0f3924e518e4109bb7f95af668421c3db37152475e3735a86c2cfcea8c543a1cc793762c4d4ac3c7c37aece7fa4c729fa8;2018-06-27 08:48:04.960;111.111.111-71;1;;;100000016
600;2018-06-27 07:18:25.243;e0a7984493ff6e38f9c626334c06054b376f61a2036a80df82901244c120e8c4dd89d909c6f6a0eadbd6529a2c339093b4def399a2cee4a8dd7a8df9d6106107;2018-06-27 08:48:26.850;111.111.111-72;1;;;100000016
601;2018-06-27 07:20:13.910;613bc7220784609e1f318b1af4ce26c15cf83ad9d49882a87b3b71e8dec86bebfd187cec62c5ee06a8bb89b409884c452ed2d6192d40f0e11efcbb40217ccb7b;2018-06-27 08:52:48.653;111.111.111-73;1;;;100000016
602;2018-06-27 07:21:47.910;e4b60a036c06ef3bda4c1e0df499d2865bd46ce1ef1963249279bc875e259bb38deac11f2873bfb8c68576016e284a347f5a6b975a2c9c4abe88dd7c1120161f;2018-06-27 08:51:47.910;111.111.111-74;1;;;100000016
603;2018-06-27 07:22:31.253;3f401f595d0d5fe35990b59cd5299dd1daeb6ce7c57dd56882ceccec9aa7ef0b29bf163438fee953efb8d8e098c6a2d6e2d5d19902633a3226405632147e0758;2018-06-27 08:52:31.253;111.111.111-75;1;;;100000016
604;2018-06-27 07:23:01.010;27d2be04fbd0b6cbae90b5cc5607fbdd1d12164f5c7a3cb84058f874734912c79d29bee60c823e05466986d1f204f0d2f4242455f6a40b2ee3b4775b6821cf98;2018-06-27 08:53:02.710;111.111.111-76;1;;;100000016
605;2018-06-27 07:23:32.567;b7ac8f0a97333363be23b83903f3c849ea4087e02a4dd56494ce0ee7b06d8f49acb28bb750389025f3896db202c10b57e202d8c74fb30798e8a9d26d340df658;2018-06-27 08:53:32.567;111.111.111-77;1;;;100000016
606;2018-06-27 07:25:56.773;8efb044c8041f3626e66b1879aef28b8f1e2d3fa22fd349d7705b8ff32739d28e6fdc6e8c61dc95c9b3fa7619239c1c3649e61c53e12ba404933ae77846a7bb2;2018-06-27 08:55:56.773;111.111.111-78;1;;;100000016
607;2018-06-27 07:26:55.560;663460967de200a4362c25cad0b99302794fd9751cd80236b60e51c2024d73f2e383a36f5839e9cbad984468fad9ca6366dc2b12bf0d4b0e5c9ef2beed5841d3;2018-06-27 09:29:24.730;111.111.111-79;1;;;100000016
608;2018-06-27 07:27:07.860;33c9943c2a9b52ec1617daf1c0d7154fe257d122b805b013210bfae07e1f528cec632a04140e5995aa585c16cbceeca293a856c4e788e827559718874df22ae1;2018-06-27 08:57:07.860;111.111.111-80;1;;;100000016
609;2018-06-27 07:30:01.277;94225bda3c8f3954aa7086e69dcd7ce76889104b3d917501a0fd4aafa90b59f8236cd05a0bc40d333cf355a7d7bf602f56218a20732cdf1154c6d403110a80ae;2018-06-27 09:00:47.510;111.111.111-81;1;;;100000016
610;2018-06-27 07:30:58.397;6c7a23fe1b1f3da06761551f1f32681bcf1c6eab8b598a59c1cfb0deabd459feb380d1e37083d441ac8615c6e7f60cfcf3b3ccfcc817872f5e101270a2249fc6;2018-06-27 09:00:59.683;111.111.111-82;1;;;100000016
611;2018-06-27 07:32:16.570;4308aa0b3a7194e0745753d569ccc18c7da704858226ff2cebf07675931118c19700aa8887d0c289a225608c8a159919a1b754c68dd7acbc00e4c8521be8e8fa;2018-06-27 09:05:02.683;111.111.111-83;1;;;100000016
612;2018-06-27 07:34:06.453;aa7cdd3a737d967c7a2d48d74ee2e48de821ae8e546da84a2139f4e52b2a4ceae41693f9f452c8cb5c69770a171640f6aac69ccf79867badd4a275162cebea6b;2018-06-27 09:13:51.613;111.111.111-84;1;;;100000016
613;2018-06-27 07:35:10.760;0b2d4961912fa73cd6957838b0c4f431ae1d30c6a6b9f488725665bf65940a13c571f2699659aab0c5dc62ef3f7cdadf6a25a7c6e1434a2fbca268faee024fb4;2018-06-27 09:05:11.887;111.111.111-85;1;;;100000016
614;2018-06-27 07:43:10.707;22a226609b2cac02974a24bb3b1b8d5ef260b1e451ba64bf45f50651d8d5e3a4d2ec6bcd41c8ed5634a67b50d3e3867f7bafd48908096ffa7e5a1f0a3eae67b3;2018-06-27 09:14:37.737;111.111.111-86;1;;;100000016
615;2018-06-27 07:44:03.430;81d44d3157e540f7be7b020ada391c60b1e20e656dbb8bddb16840fa524289d7e4de5c6f607e839aa184155bb4dae5a292f98c8da04c095bdf7506ef3565e9f2;2018-06-27 09:22:32.353;111.111.111-87;1;;;100000016
616;2018-06-27 07:45:01.180;9cfd50bf7286c809ed12f9094769cbbd428003e411f3cd59eab5b1932a84f66d4d2b88d104541f1d354abff667d2735f57d56b5e732701e3ab1ad0a207732aa8;2018-06-27 09:15:02.320;111.111.111-88;1;;;100000016
617;2018-06-27 07:45:57.370;671fe61674a2e6910990fd55187dfd2abd2d70b82157f918d6cc46d72309e9c20108372f1f28371560bc04404d56849e417ba11754698b480408c8414c36126a;2018-06-27 09:15:57.370;111.111.111-89;1;;;100000016
